trial_index,phase,phase_trial_index,bootstrap_trials_used,optimisation_trials_used,validation_trials_used,test_index,sample_index,time_s,current_power,desired_output,kp,ki,kd,test_invalid,test_note
3,bootstrap,3,3,0,0,3,31,9.0,398.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,32,9.299999999999999,399.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,33,9.6,400.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,34,9.9,399.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,35,10.2,398.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,36,10.5,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,37,10.799999999999999,400.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,38,11.1,401.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,39,11.4,401.0,400.0,0.016124999999999973,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,1,0.0,374.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,2,0.3,388.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,3,0.6,392.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,4,0.8999999999999999,395.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,5,1.2,398.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,6,1.5,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,7,1.7999999999999998,399.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,8,2.1,401.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,9,2.4,401.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,10,2.6999999999999997,400.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,11,3.0,399.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,12,3.3,397.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,13,3.5999999999999996,400.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,14,3.9,399.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,15,4.2,399.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,16,4.5,398.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,17,4.8,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,18,5.1,399.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,19,5.3999999999999995,401.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,20,5.7,398.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,21,6.0,398.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,22,6.3,400.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,23,6.6,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,24,6.8999999999999995,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,25,7.199999999999999,400.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,26,7.5,400.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,27,7.8,397.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,28,8.1,400.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,29,8.4,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,30,8.7,398.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,31,9.0,400.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,32,9.299999999999999,398.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,33,9.6,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,34,9.9,401.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,35,10.2,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,36,10.5,401.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,37,10.799999999999999,399.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,38,11.1,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,2,39,11.4,398.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,1,0.0,371.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,2,0.3,385.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,3,0.6,388.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,4,0.8999999999999999,393.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,5,1.2,396.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,6,1.5,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,7,1.7999999999999998,401.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,8,2.1,399.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,9,2.4,400.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,10,2.6999999999999997,400.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,11,3.0,401.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,12,3.3,398.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,13,3.5999999999999996,400.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,14,3.9,398.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,15,4.2,398.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,16,4.5,401.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,17,4.8,401.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,18,5.1,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,19,5.3999999999999995,399.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,20,5.7,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,21,6.0,399.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,22,6.3,398.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,23,6.6,400.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,24,6.8999999999999995,401.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,25,7.199999999999999,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,26,7.5,400.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,27,7.8,399.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,28,8.1,402.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,29,8.4,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,30,8.7,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,31,9.0,399.0,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,32,9.299999999999999,398.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,33,9.6,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,34,9.9,400.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,35,10.2,400.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,36,10.5,400.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,37,10.799999999999999,399.67,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,38,11.1,399.33,400.0,0.0,0.14,0.05,0,
4,bootstrap,4,4,0,0,3,39,11.4,400.33,400.0,0.0,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,1,0.0,371.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,2,0.3,392.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,3,0.6,387.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,4,0.8999999999999999,394.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,5,1.2,396.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,6,1.5,397.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,7,1.7999999999999998,397.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,8,2.1,400.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,9,2.4,397.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,10,2.6999999999999997,400.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,11,3.0,399.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,12,3.3,399.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,13,3.5999999999999996,399.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,14,3.9,399.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,15,4.2,400.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,16,4.5,399.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,17,4.8,398.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,18,5.1,401.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,19,5.3999999999999995,398.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,20,5.7,401.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,21,6.0,398.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,22,6.3,401.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,23,6.6,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,24,6.8999999999999995,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,25,7.199999999999999,399.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,26,7.5,399.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,27,7.8,400.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,28,8.1,397.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,29,8.4,400.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,30,8.7,398.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,31,9.0,400.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,32,9.299999999999999,399.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,33,9.6,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,34,9.9,400.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,35,10.2,400.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,36,10.5,401.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,37,10.799999999999999,398.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,38,11.1,402.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,1,39,11.4,398.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,1,0.0,367.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,2,0.3,394.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,3,0.6,385.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,4,0.8999999999999999,394.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,5,1.2,393.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,6,1.5,397.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,7,1.7999999999999998,397.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,8,2.1,396.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,9,2.4,401.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,10,2.6999999999999997,397.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,11,3.0,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,12,3.3,398.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,13,3.5999999999999996,399.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,14,3.9,399.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,15,4.2,401.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,16,4.5,399.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,17,4.8,399.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,18,5.1,399.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,19,5.3999999999999995,401.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,20,5.7,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,21,6.0,399.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,22,6.3,400.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,23,6.6,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,24,6.8999999999999995,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,25,7.199999999999999,399.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,26,7.5,399.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,27,7.8,399.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,28,8.1,400.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,29,8.4,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,30,8.7,399.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,31,9.0,398.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,32,9.299999999999999,401.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,33,9.6,398.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,34,9.9,401.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,35,10.2,398.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,36,10.5,400.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,37,10.799999999999999,400.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,38,11.1,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,2,39,11.4,400.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,1,0.0,365.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,2,0.3,395.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,3,0.6,382.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,4,0.8999999999999999,396.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,5,1.2,392.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,6,1.5,396.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,7,1.7999999999999998,398.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,8,2.1,396.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,9,2.4,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,10,2.6999999999999997,397.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,11,3.0,402.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,12,3.3,396.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,13,3.5999999999999996,401.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,14,3.9,399.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,15,4.2,401.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,16,4.5,399.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,17,4.8,399.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,18,5.1,399.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,19,5.3999999999999995,400.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,20,5.7,399.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,21,6.0,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,22,6.3,400.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,23,6.6,398.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,24,6.8999999999999995,402.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,25,7.199999999999999,398.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,26,7.5,401.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,27,7.8,398.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,28,8.1,401.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,29,8.4,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,30,8.7,398.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,31,9.0,401.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,32,9.299999999999999,398.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,33,9.6,399.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,34,9.9,400.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,35,10.2,399.67,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,36,10.5,400.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,37,10.799999999999999,400.33,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,38,11.1,398.0,400.0,0.12991874999999997,0.14,0.05,0,
5,bootstrap,5,5,0,0,3,39,11.4,401.33,400.0,0.12991874999999997,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,1,0.0,364.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,2,0.3,399.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,3,0.6,378.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,4,0.8999999999999999,400.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,5,1.2,388.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,6,1.5,400.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,7,1.7999999999999998,392.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,8,2.1,400.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,9,2.4,397.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,10,2.6999999999999997,398.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,11,3.0,401.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,12,3.3,397.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,13,3.5999999999999996,400.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,14,3.9,397.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,15,4.2,398.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,16,4.5,400.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,17,4.8,398.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,18,5.1,400.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,19,5.3999999999999995,399.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,20,5.7,399.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,21,6.0,401.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,22,6.3,397.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,23,6.6,403.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,24,6.8999999999999995,397.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,25,7.199999999999999,401.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,26,7.5,399.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,27,7.8,398.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,28,8.1,401.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,29,8.4,398.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,30,8.7,399.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,31,9.0,399.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,32,9.299999999999999,400.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,33,9.6,400.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,34,9.9,400.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,35,10.2,399.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,36,10.5,399.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,37,10.799999999999999,400.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,38,11.1,399.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,1,39,11.4,400.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,1,0.0,358.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,2,0.3,406.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,3,0.6,371.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,4,0.8999999999999999,403.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,5,1.2,383.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,6,1.5,403.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,7,1.7999999999999998,389.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,8,2.1,402.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,9,2.4,392.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,10,2.6999999999999997,403.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,11,3.0,394.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,12,3.3,402.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,13,3.5999999999999996,396.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,14,3.9,401.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,15,4.2,397.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,16,4.5,402.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,17,4.8,396.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,18,5.1,402.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,19,5.3999999999999995,397.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,20,5.7,400.67,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,21,6.0,398.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,22,6.3,400.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,23,6.6,400.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,24,6.8999999999999995,400.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,25,7.199999999999999,399.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,26,7.5,401.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,27,7.8,398.0,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,28,8.1,400.33,400.0,0.2266434375,0.14,0.05,0,
6,bootstrap,6,6,0,0,2,29,8.4,400.0,400.0,0.2266434375,0.14,0.05,0,
